,Trap,Latitude,Longitude,Date,WnvPresent,NumMosquitos,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,year,month,day,Tmax,Tmin,rain,Tmax_3,Tmax_20,Dew,Tmin_3,Tmin_20,Tavg,WetBulb,CodeSum,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
0,T001,41.953705,-87.733974,2007-06-26,0,1,0,0,1,0,0,0,0,2007,6,26,80.25,63.5,0.805,81.25,83.5238095238,59.2727272727,65.0,61.8571428571,72.125,63.75,1263888.875,29.325,30.0375,6.8,15.125,8.8125
1,T001,41.953705,-87.733974,2007-07-11,0,1,0,0,1,0,0,0,0,2007,7,11,88.125,68.0,0.89,88.5,82.5714285714,59.5454545455,69.0,63.4285714286,78.25,67.5,1375013.75,29.17125,29.88125,7.225,23.25,9.2125
2,T001,41.953705,-87.733974,2007-07-18,0,1,0,1,0,0,0,0,0,2007,7,18,81.375,63.0,2.05,83.0,82.8095238095,59.6363636364,65.5,62.9047619048,72.5,63.0,13.875,29.19,29.9025,6.0875,23.25,8.4
3,T001,41.953705,-87.733974,2007-08-01,0,1,0,1,0,0,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
4,T001,41.953705,-87.733974,2007-08-01,0,3,0,0,1,0,0,0,0,2007,8,1,86.0,66.875,0.365,89.25,82.8571428571,60.1818181818,65.5,63.7619047619,76.75,67.25,138750.125,29.25625,29.96625,5.175,9.625,6.6375
5,T001,41.953705,-87.733974,2007-08-07,0,1,0,1,0,0,0,0,0,2007,8,7,89.0,69.125,3.03,87.0,84.7619047619,63.2727272727,69.25,65.8095238095,79.5,70.125,137638.875,29.22125,29.9325,4.2375,13.25,6.275
6,T001,41.953705,-87.733974,2007-08-07,0,1,0,0,1,0,0,0,0,2007,8,7,89.0,69.125,3.03,87.0,84.7619047619,63.2727272727,69.25,65.8095238095,79.5,70.125,137638.875,29.22125,29.9325,4.2375,13.25,6.275
7,T001,41.953705,-87.733974,2007-08-15,0,5,0,1,0,0,0,0,0,2007,8,15,84.875,68.75,1.04,83.25,86.2380952381,68.0909090909,67.0,68.0952380952,77.0,70.375,1388888.875,29.245,29.955,3.8,12.125,6.1
8,T001,41.953705,-87.733974,2007-08-15,0,5,0,0,1,0,0,0,0,2007,8,15,84.875,68.75,1.04,83.25,86.2380952381,68.0909090909,67.0,68.0952380952,77.0,70.375,1388888.875,29.245,29.955,3.8,12.125,6.1
9,T001,41.953705,-87.733974,2007-08-21,0,1,0,1,0,0,0,0,0,2007,8,21,77.625,64.875,2.975,75.25,83.6666666667,63.1818181818,64.5,67.5238095238,71.5,66.375,1387638.875,29.26625,29.9775,4.4375,14.625,6.6875
10,T001,41.953705,-87.733974,2007-08-24,0,2,0,0,1,0,0,0,0,2007,8,24,79.625,65.625,5.295,86.0,82.9047619048,64.8181818182,69.0,67.4761904762,72.875,67.125,138888.875,29.2425,29.9575,5.4125,18.875,7.7875
11,T001,41.953705,-87.733974,2007-09-12,0,1,0,0,1,0,0,0,0,2007,9,12,78.25,60.75,0.74,73.0,81.0,57.8181818182,53.25,62.0952380952,69.75,62.0,1387512.5,29.27,29.98375,8.075,13.0,9.7125
12,T001,41.953705,-87.733974,2007-10-04,0,1,0,1,0,0,0,0,0,2007,10,4,76.75,54.125,0.525,75.75,77.7142857143,53.6363636364,55.5,54.7619047619,65.625,57.875,1251387.625,29.33375,30.05125,7.225,18.5,8.6125
13,T001,41.953705,-87.733974,2007-10-04,0,1,0,0,0,0,0,0,1,2007,10,4,76.75,54.125,0.525,75.75,77.7142857143,53.6363636364,55.5,54.7619047619,65.625,57.875,1251387.625,29.33375,30.05125,7.225,18.5,8.6125
14,T002,41.95469,-87.800991,2007-05-29,0,1,0,0,1,0,0,0,0,2007,5,29,80.125,56.25,1.08,76.75,76.3333333333,48.0909090909,54.0,52.0,68.375,58.5,12638.875,29.39625,30.1175,7.9375,16.75,9.575
15,T002,41.95469,-87.800991,2007-05-29,0,1,0,0,0,1,0,0,0,2007,5,29,80.125,56.25,1.08,76.75,76.3333333333,48.0909090909,54.0,52.0,68.375,58.5,12638.875,29.39625,30.1175,7.9375,16.75,9.575
16,T002,41.95469,-87.800991,2007-06-05,0,1,0,1,0,0,0,0,0,2007,6,5,79.0,60.625,1.06,73.5,76.8095238095,56.1818181818,58.0,54.619047619,70.125,62.75,1388888.875,29.1175,29.8375,6.7875,19.5,8.1
17,T002,41.95469,-87.800991,2007-06-05,0,3,0,0,1,0,0,0,0,2007,6,5,79.0,60.625,1.06,73.5,76.8095238095,56.1818181818,58.0,54.619047619,70.125,62.75,1388888.875,29.1175,29.8375,6.7875,19.5,8.1
18,T002,41.95469,-87.800991,2007-06-05,0,5,0,0,0,1,0,0,0,2007,6,5,79.0,60.625,1.06,73.5,76.8095238095,56.1818181818,58.0,54.619047619,70.125,62.75,1388888.875,29.1175,29.8375,6.7875,19.5,8.1
19,T002,41.95469,-87.800991,2007-06-26,0,1,0,0,1,0,0,0,0,2007,6,26,80.25,63.5,0.805,81.25,83.5238095238,59.2727272727,65.0,61.8571428571,72.125,63.75,1263888.875,29.325,30.0375,6.8,15.125,8.8125
20,T002,41.95469,-87.800991,2007-06-26,0,4,0,0,0,1,0,0,0,2007,6,26,80.25,63.5,0.805,81.25,83.5238095238,59.2727272727,65.0,61.8571428571,72.125,63.75,1263888.875,29.325,30.0375,6.8,15.125,8.8125
21,T002,41.95469,-87.800991,2007-06-26,0,1,0,0,0,0,1,0,0,2007,6,26,80.25,63.5,0.805,81.25,83.5238095238,59.2727272727,65.0,61.8571428571,72.125,63.75,1263888.875,29.325,30.0375,6.8,15.125,8.8125
22,T002,41.95469,-87.800991,2007-06-29,0,2,0,0,1,0,0,0,0,2007,6,29,79.5,63.25,0.365,81.75,83.1428571429,58.4545454545,63.75,62.4761904762,71.5,64.625,1388887.5,29.3375,30.05125,7.425,11.5,8.65
