Trap,Latitude,Longitude,Date,Species,WnvPresent,NumMosquitos,Tmax,Tmin,rain,Tmax_3,Tmax_20,Dew,Tmin_3,Tmin_20,CULEX ERRATICUS,CULEX PIPIENS,CULEX PIPIENS/RESTUANS,CULEX RESTUANS,CULEX SALINARIUS,CULEX TARSALIS,CULEX TERRITANS
T001,41.953705,-87.733974,2007-06-26,CULEX PIPIENS/RESTUANS,0,1,80.1875,64.3125,2.09,80.625,83.4285714286,59.3636363636,65.75,63.4761904762,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-07-11,CULEX PIPIENS/RESTUANS,0,1,87.5625,68.5625,1.87,88.25,82.1666666667,59.4545454545,69.5,64.4523809524,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-07-18,CULEX PIPIENS,0,1,81.0625,63.5,3.15,82.75,82.4047619048,59.6818181818,66.25,63.8095238095,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-08-01,CULEX PIPIENS,0,1,85.5625,67.4375,1.295,88.5,82.5238095238,60.0454545455,66.5,64.380952381,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-08-01,CULEX PIPIENS/RESTUANS,0,3,85.5625,67.4375,1.295,88.5,82.5238095238,60.0454545455,66.5,64.380952381,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-08-07,CULEX PIPIENS,0,1,88.5625,70.0625,4.13,86.75,84.4523809524,63.4090909091,70.125,66.5952380952,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-08-07,CULEX PIPIENS/RESTUANS,0,1,88.5625,70.0625,4.13,86.75,84.4523809524,63.4090909091,70.125,66.5952380952,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-08-15,CULEX PIPIENS,0,5,84.8125,69.5,3.1,83.125,86.0,68.0909090909,67.75,68.9523809524,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-08-15,CULEX PIPIENS/RESTUANS,0,5,84.8125,69.5,3.1,83.125,86.0,68.0909090909,67.75,68.9523809524,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-08-21,CULEX PIPIENS,0,1,77.625,65.4375,6.495,75.0,83.5,63.2272727273,64.625,68.3333333333,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-08-24,CULEX PIPIENS/RESTUANS,0,2,79.75,66.125,10.575,86.125,82.880952381,64.9545454545,69.25,68.1666666667,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-09-12,CULEX PIPIENS/RESTUANS,0,1,78.25,61.625,1.745,72.625,80.9047619048,57.7272727273,53.5,62.8571428571,0,0,1,0,0,0,0
T001,41.953705,-87.733974,2007-10-04,CULEX PIPIENS,0,1,77.0,55.0625,0.955,76.0,77.7857142857,53.5454545455,56.5,56.2380952381,0,1,0,0,0,0,0
T001,41.953705,-87.733974,2007-10-04,CULEX TERRITANS,0,1,77.0,55.0625,0.955,76.0,77.7857142857,53.5454545455,56.5,56.2380952381,0,0,0,0,0,0,1
T002,41.95469,-87.800991,2007-05-29,CULEX PIPIENS/RESTUANS,0,1,80.0,57.9375,1.535,77.0,76.2619047619,48.1818181818,55.5,52.8333333333,0,0,1,0,0,0,0
T002,41.95469,-87.800991,2007-05-29,CULEX RESTUANS,0,1,80.0,57.9375,1.535,77.0,76.2619047619,48.1818181818,55.5,52.8333333333,0,0,0,1,0,0,0
T002,41.95469,-87.800991,2007-06-05,CULEX PIPIENS,0,1,79.25,62.125,2.705,73.375,76.7380952381,56.2272727273,58.875,55.8571428571,0,1,0,0,0,0,0
T002,41.95469,-87.800991,2007-06-05,CULEX PIPIENS/RESTUANS,0,3,79.25,62.125,2.705,73.375,76.7380952381,56.2272727273,58.875,55.8571428571,0,0,1,0,0,0,0
T002,41.95469,-87.800991,2007-06-05,CULEX RESTUANS,0,5,79.25,62.125,2.705,73.375,76.7380952381,56.2272727273,58.875,55.8571428571,0,0,0,1,0,0,0
T002,41.95469,-87.800991,2007-06-26,CULEX PIPIENS/RESTUANS,0,1,80.1875,64.3125,2.09,80.625,83.4285714286,59.3636363636,65.75,63.4761904762,0,0,1,0,0,0,0
T002,41.95469,-87.800991,2007-06-26,CULEX RESTUANS,0,4,80.1875,64.3125,2.09,80.625,83.4285714286,59.3636363636,65.75,63.4761904762,0,0,0,1,0,0,0
T002,41.95469,-87.800991,2007-06-26,CULEX SALINARIUS,0,1,80.1875,64.3125,2.09,80.625,83.4285714286,59.3636363636,65.75,63.4761904762,0,0,0,0,1,0,0
