Trap,Latitude,Longitude,Date,WnvPresent,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,year,month,day,Tmax_20,Dew,Tmin_3,Tmin_20
T001,41.953705,-87.733974,2007-06-26,0,0,0,1,0,0,0,0,2007,6,26,83.5238095238,59.2727272727,65.0,61.8571428571
T001,41.953705,-87.733974,2007-07-11,0,0,0,1,0,0,0,0,2007,7,11,82.5714285714,59.5454545455,69.0,63.4285714286
T001,41.953705,-87.733974,2007-07-18,0,0,1,0,0,0,0,0,2007,7,18,82.8095238095,59.6363636364,65.5,62.9047619048
T001,41.953705,-87.733974,2007-08-01,0,0,1,0,0,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T001,41.953705,-87.733974,2007-08-01,0,0,0,1,0,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T001,41.953705,-87.733974,2007-08-07,0,0,1,0,0,0,0,0,2007,8,7,84.7619047619,63.2727272727,69.25,65.8095238095
T001,41.953705,-87.733974,2007-08-07,0,0,0,1,0,0,0,0,2007,8,7,84.7619047619,63.2727272727,69.25,65.8095238095
T001,41.953705,-87.733974,2007-08-15,0,0,1,0,0,0,0,0,2007,8,15,86.2380952381,68.0909090909,67.0,68.0952380952
T001,41.953705,-87.733974,2007-08-15,0,0,0,1,0,0,0,0,2007,8,15,86.2380952381,68.0909090909,67.0,68.0952380952
T001,41.953705,-87.733974,2007-08-21,0,0,1,0,0,0,0,0,2007,8,21,83.6666666667,63.1818181818,64.5,67.5238095238
T001,41.953705,-87.733974,2007-08-24,0,0,0,1,0,0,0,0,2007,8,24,82.9047619048,64.8181818182,69.0,67.4761904762
T001,41.953705,-87.733974,2007-09-12,0,0,0,1,0,0,0,0,2007,9,12,81.0,57.8181818182,53.25,62.0952380952
T001,41.953705,-87.733974,2007-10-04,0,0,1,0,0,0,0,0,2007,10,4,77.7142857143,53.6363636364,55.5,54.7619047619
T001,41.953705,-87.733974,2007-10-04,0,0,0,0,0,0,0,1,2007,10,4,77.7142857143,53.6363636364,55.5,54.7619047619
T002,41.95469,-87.800991,2007-05-29,0,0,0,1,0,0,0,0,2007,5,29,76.3333333333,48.0909090909,54.0,52.0
T002,41.95469,-87.800991,2007-05-29,0,0,0,0,1,0,0,0,2007,5,29,76.3333333333,48.0909090909,54.0,52.0
T002,41.95469,-87.800991,2007-06-05,0,0,1,0,0,0,0,0,2007,6,5,76.8095238095,56.1818181818,58.0,54.619047619
T002,41.95469,-87.800991,2007-06-05,0,0,0,1,0,0,0,0,2007,6,5,76.8095238095,56.1818181818,58.0,54.619047619
T002,41.95469,-87.800991,2007-06-05,0,0,0,0,1,0,0,0,2007,6,5,76.8095238095,56.1818181818,58.0,54.619047619
T002,41.95469,-87.800991,2007-06-26,0,0,0,1,0,0,0,0,2007,6,26,83.5238095238,59.2727272727,65.0,61.8571428571
T002,41.95469,-87.800991,2007-06-26,0,0,0,0,1,0,0,0,2007,6,26,83.5238095238,59.2727272727,65.0,61.8571428571
T002,41.95469,-87.800991,2007-06-26,0,0,0,0,0,1,0,0,2007,6,26,83.5238095238,59.2727272727,65.0,61.8571428571
T002,41.95469,-87.800991,2007-06-29,0,0,0,1,0,0,0,0,2007,6,29,83.1428571429,58.4545454545,63.75,62.4761904762
T002,41.95469,-87.800991,2007-07-02,0,0,0,1,0,0,0,0,2007,7,2,82.5238095238,57.5454545455,54.25,62.2857142857
T002,41.95469,-87.800991,2007-07-02,0,0,0,0,1,0,0,0,2007,7,2,82.5238095238,57.5454545455,54.25,62.2857142857
T002,41.95469,-87.800991,2007-07-11,0,0,1,0,0,0,0,0,2007,7,11,82.5714285714,59.5454545455,69.0,63.4285714286
T002,41.95469,-87.800991,2007-07-11,0,0,0,1,0,0,0,0,2007,7,11,82.5714285714,59.5454545455,69.0,63.4285714286
T002,41.95469,-87.800991,2007-07-11,0,0,0,0,1,0,0,0,2007,7,11,82.5714285714,59.5454545455,69.0,63.4285714286
T002,41.95469,-87.800991,2007-07-18,0,0,1,0,0,0,0,0,2007,7,18,82.8095238095,59.6363636364,65.5,62.9047619048
T002,41.95469,-87.800991,2007-07-18,0,0,0,1,0,0,0,0,2007,7,18,82.8095238095,59.6363636364,65.5,62.9047619048
T002,41.95469,-87.800991,2007-07-18,0,0,0,0,1,0,0,0,2007,7,18,82.8095238095,59.6363636364,65.5,62.9047619048
T002,41.95469,-87.800991,2007-07-27,0,0,1,0,0,0,0,0,2007,7,27,83.1904761905,60.3636363636,68.0,64.3333333333
T002,41.95469,-87.800991,2007-07-27,0,0,0,1,0,0,0,0,2007,7,27,83.1904761905,60.3636363636,68.0,64.3333333333
T002,41.95469,-87.800991,2007-07-27,0,0,0,0,1,0,0,0,2007,7,27,83.1904761905,60.3636363636,68.0,64.3333333333
T002,41.95469,-87.800991,2007-08-01,0,0,1,0,0,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T002,41.95469,-87.800991,2007-08-01,0,0,0,1,0,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T002,41.95469,-87.800991,2007-08-01,1,0,0,1,0,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T002,41.95469,-87.800991,2007-08-01,0,0,0,0,1,0,0,0,2007,8,1,82.8571428571,60.1818181818,65.5,63.7619047619
T002,41.95469,-87.800991,2007-08-07,0,0,1,0,0,0,0,0,2007,8,7,84.7619047619,63.2727272727,69.25,65.8095238095
T002,41.95469,-87.800991,2007-08-07,0,0,0,1,0,0,0,0,2007,8,7,84.7619047619,63.2727272727,69.25,65.8095238095
T002,41.95469,-87.800991,2007-08-07,0,0,0,0,1,0,0,0,2007,8,7,84.7619047619,63.2727272727,69.25,65.8095238095
T002,41.95469,-87.800991,2007-08-15,0,0,1,0,0,0,0,0,2007,8,15,86.2380952381,68.0909090909,67.0,68.0952380952
T002,41.95469,-87.800991,2007-08-15,1,0,0,1,0,0,0,0,2007,8,15,86.2380952381,68.0909090909,67.0,68.0952380952
T002,41.95469,-87.800991,2007-08-15,0,0,0,0,1,0,0,0,2007,8,15,86.2380952381,68.0909090909,67.0,68.0952380952
