,Trap,Latitude,Longitude,Date,Species,WnvPresent,NumMosquitos,Tmax,Tmin,rain,Spray
0,T001,41.953705,-87.733974,2007-06-26,CULEX PIPIENS/RESTUANS,0,1,80.1875,64.3125,2.09,
1,T001,41.953705,-87.733974,2007-07-11,CULEX PIPIENS/RESTUANS,0,1,87.5625,68.5625,1.87,
2,T001,41.953705,-87.733974,2007-07-18,CULEX PIPIENS,0,1,81.0625,63.5,3.15,
3,T001,41.953705,-87.733974,2007-08-01,CULEX PIPIENS,0,1,85.5625,67.4375,1.295,
4,T001,41.953705,-87.733974,2007-08-01,CULEX PIPIENS/RESTUANS,0,3,85.5625,67.4375,1.295,
5,T001,41.953705,-87.733974,2007-08-07,CULEX PIPIENS,0,1,88.5625,70.0625,4.13,
6,T001,41.953705,-87.733974,2007-08-07,CULEX PIPIENS/RESTUANS,0,1,88.5625,70.0625,4.13,
7,T001,41.953705,-87.733974,2007-08-15,CULEX PIPIENS,0,5,84.8125,69.5,3.1,
8,T001,41.953705,-87.733974,2007-08-15,CULEX PIPIENS/RESTUANS,0,5,84.8125,69.5,3.1,
9,T001,41.953705,-87.733974,2007-08-21,CULEX PIPIENS,0,1,77.625,65.4375,6.495,
10,T001,41.953705,-87.733974,2007-08-24,CULEX PIPIENS/RESTUANS,0,2,79.75,66.125,10.575,
11,T001,41.953705,-87.733974,2007-09-12,CULEX PIPIENS/RESTUANS,0,1,78.25,61.625,1.745,
12,T001,41.953705,-87.733974,2007-10-04,CULEX PIPIENS,0,1,77.0,55.0625,0.955,
13,T001,41.953705,-87.733974,2007-10-04,CULEX TERRITANS,0,1,77.0,55.0625,0.955,
14,T002,41.95469,-87.800991,2007-05-29,CULEX PIPIENS/RESTUANS,0,1,80.0,57.9375,1.535,
15,T002,41.95469,-87.800991,2007-05-29,CULEX RESTUANS,0,1,80.0,57.9375,1.535,
16,T002,41.95469,-87.800991,2007-06-05,CULEX PIPIENS,0,1,79.25,62.125,2.705,
17,T002,41.95469,-87.800991,2007-06-05,CULEX PIPIENS/RESTUANS,0,3,79.25,62.125,2.705,
18,T002,41.95469,-87.800991,2007-06-05,CULEX RESTUANS,0,5,79.25,62.125,2.705,
19,T002,41.95469,-87.800991,2007-06-26,CULEX PIPIENS/RESTUANS,0,1,80.1875,64.3125,2.09,
20,T002,41.95469,-87.800991,2007-06-26,CULEX RESTUANS,0,4,80.1875,64.3125,2.09,
21,T002,41.95469,-87.800991,2007-06-26,CULEX SALINARIUS,0,1,80.1875,64.3125,2.09,
22,T002,41.95469,-87.800991,2007-06-29,CULEX PIPIENS/RESTUANS,0,2,79.0,63.875,1.065,
23,T002,41.95469,-87.800991,2007-07-02,CULEX PIPIENS/RESTUANS,0,3,80.5625,61.625,0.665,
24,T002,41.95469,-87.800991,2007-07-02,CULEX RESTUANS,0,2,80.5625,61.625,0.665,
25,T002,41.95469,-87.800991,2007-07-11,CULEX PIPIENS,0,2,87.5625,68.5625,1.87,
26,T002,41.95469,-87.800991,2007-07-11,CULEX PIPIENS/RESTUANS,0,18,87.5625,68.5625,1.87,
27,T002,41.95469,-87.800991,2007-07-11,CULEX RESTUANS,0,7,87.5625,68.5625,1.87,
28,T002,41.95469,-87.800991,2007-07-18,CULEX PIPIENS,0,4,81.0625,63.5,3.15,
29,T002,41.95469,-87.800991,2007-07-18,CULEX PIPIENS/RESTUANS,0,7,81.0625,63.5,3.15,
30,T002,41.95469,-87.800991,2007-07-18,CULEX RESTUANS,0,2,81.0625,63.5,3.15,
31,T002,41.95469,-87.800991,2007-07-27,CULEX PIPIENS,0,1,80.625,63.6875,1.3,
32,T002,41.95469,-87.800991,2007-07-27,CULEX PIPIENS/RESTUANS,0,23,80.625,63.6875,1.3,
33,T002,41.95469,-87.800991,2007-07-27,CULEX RESTUANS,0,11,80.625,63.6875,1.3,
34,T002,41.95469,-87.800991,2007-08-01,CULEX PIPIENS,0,67,85.5625,67.4375,1.295,
35,T002,41.95469,-87.800991,2007-08-01,CULEX PIPIENS/RESTUANS,0,33,85.5625,67.4375,1.295,
36,T002,41.95469,-87.800991,2007-08-01,CULEX PIPIENS/RESTUANS,1,71,85.5625,67.4375,1.295,
37,T002,41.95469,-87.800991,2007-08-01,CULEX RESTUANS,0,8,85.5625,67.4375,1.295,
38,T002,41.95469,-87.800991,2007-08-07,CULEX PIPIENS,0,11,88.5625,70.0625,4.13,
39,T002,41.95469,-87.800991,2007-08-07,CULEX PIPIENS/RESTUANS,0,13,88.5625,70.0625,4.13,
40,T002,41.95469,-87.800991,2007-08-07,CULEX RESTUANS,0,2,88.5625,70.0625,4.13,
41,T002,41.95469,-87.800991,2007-08-15,CULEX PIPIENS,0,32,84.8125,69.5,3.1,
42,T002,41.95469,-87.800991,2007-08-15,CULEX PIPIENS/RESTUANS,1,41,84.8125,69.5,3.1,
